"","Longitude","Latitude"
"3091508",-87.554062372,41.749270147
"3092202",-87.702346016,41.778984374
"3092895",-87.754874977,41.894945606
"3093603",-87.766664532,41.884625648
"3094271",-87.57638585,41.769345721
"3095032",-87.6886628,41.960643716
"3095641",-87.745509336,41.886893085
"3096106",-87.600442358,41.779814746
"3096723",-87.589053667,41.767850518
"3097276",-87.600324481,41.750880891
"3097890",-87.733899414,41.87877047
"3098500",-87.565340653,41.763528614
"3099176",-87.6070523,41.774335213
"3099734",-87.65483922,41.969795565
"3100410",-87.621704653,41.828439817
"3101117",-87.605996752,41.783395666
"3101930",-87.62185788,41.711745138
"3102694",-87.615473724,41.773960033
"3103487",-87.780464288,41.912843356
"3104265",-87.657331251,41.695806179
"3105006",-87.712494831,41.904600819
"3105752",-87.552800739,41.736646026
"3106439",-87.680735874,41.76568828
"3107183",-87.674133534,42.009739948
"3107925",-87.641856516,41.899216397
"3108572",-87.778946949,41.911568203
"3109292",-87.651623835,41.715125457
"3109929",-87.661570688,41.750382615
"3110744",-87.663195593,41.768562128
"3111500",-87.600624324,41.657400152
"3112260",-87.687748217,41.779202398
"3112956",-87.621721841,41.766553634
"3113604",-87.66622832,41.764202621
"3114274",-87.579417823,41.740188275
"3114897",-87.770117439,41.894140473
"3115561",-87.714316573,41.87267863
"3116184",-87.598534014,41.726958304
"3116878",-87.767846962,41.895460273
"3117421",-87.66166596,41.775337096
"3118074",-87.675861549,41.852772149
"3118713",-87.742989374,41.80152523
"3119515",-87.673061043,41.793125782
"3120302",-87.768960523,41.892883417
"3120981",-87.693542513,41.815555438
"3121503",-87.695045022,41.794646876
"3122182",-87.650180812,41.753496107
"3122818",-87.778762015,41.932928409
"3123471",-87.669018097,41.808566508
"3124084",-87.695582945,41.813256103
"3124883",-87.635464717,41.702876591
"3125580",-87.620317383,41.794402207
"3126190",-87.720423978,41.891742743
"3126657",-87.733766084,41.905597498
"3127412",-87.614063137,41.78208803
"3128185",-87.713168398,41.872189448
"3128946",-87.71912179,41.807928746
"3129540",-87.645122496,41.746023363
"3130133",-87.571587422,41.772749857
"3130890",-87.743748059,41.875942734
"3131507",-87.733385899,41.850436084
"3132057",-87.693542513,41.815555438
"3132557",-87.762736483,41.776221083
"3133181",-87.617679154,41.733517296
"3133661",-87.703651531,41.796939201
"3134374",-87.72482383,41.894076794
"3134996",-87.694365642,41.856732269
"3135699",-87.671958451,41.751611954
"3136452",-87.693726873,41.966034222
"3137282",-87.573533858,41.751016954
"3138031",-87.744892816,41.813955626
"3138640",-87.719290599,41.919571477
"3139244",-87.607384952,41.809519024
"3139752",-87.645769166,41.685034684
"3140403",-87.666324634,41.813273802
"3141619",-87.562925787,41.702769942
"3142254",-87.794655666,41.930896507
"3142834",-87.710295145,41.857651298
"3143330",-87.641452395,41.690546844
"3144055",-87.749223855,41.889535537
"3144807",-87.71639718,41.898000005
"3145581",-87.701415852,41.877369643
"3146171",-87.537704247,41.707647633
"3146629",-87.537704247,41.707647633
"3147219",-87.595841543,41.765693367
"3147732",-87.709144383,41.86010116
"3148233",-87.638705836,41.771874483
"3148817",-87.622451031,41.758275857
"3149265",-87.746069362,41.87025207
"3149755",-87.698901469,41.770990476
"3150328",-87.757358147,41.894916924
"3150852",-87.709893465,41.843826272
"3151469",-87.664923682,41.863318307
"3152017",-87.676543351,41.850350125
"3152817",-87.571485086,41.769005966
"3153605",-87.704490821,41.783861768
"3154255",-87.685910818,41.801124416
"3154751",-87.664463578,41.789412422
"3155310",-87.614203618,41.751130513
"3155876",-87.612081729,41.690204352
"3156345",-87.719758775,41.847252098
"3156978",-87.719744775,41.873292286
"3157500",-87.635173415,41.693582523
"3158069",-87.663601923,41.933639896
"3158674",-87.760473216,41.890349617
"3159138",-87.669457466,41.854096462
"3159755",-87.712678392,41.89626756
"3160369",-87.618982288,41.78517586
"3161212",-87.68374121,41.872089887
"3161972",-87.63103182,41.766613666
"3162763",-87.63103182,41.766613666
"3163437",-87.665307388,41.792197295
"3163958",-87.744452603,41.810352872
"3164542",-87.72416505,41.873340516
"3165113",-87.733967003,41.919462416
"3165547",-87.660833554,41.789742498
"3166117",-87.704162347,41.933877553
"3166325",-87.733662478,41.863656629
"3166917",-87.661251143,41.805930728
"3167587",-87.564321451,41.763546495
"3168054",-87.650320737,41.95594621
"3168669",-87.619829115,41.817920375
"3169258",-87.674629028,41.779306305
"3169784",-87.658064336,41.764994683
"3170565",-87.71093998,41.761528108
"3171338",-87.692780748,41.932733398
"3171981",-87.559288749,41.65884168
"3172603",-87.559288749,41.65884168
"3173181",-87.628197204,41.766714308
"3173797",-87.625782459,41.865284723
"3174339",-87.662179772,41.779503192
"3175013",-87.662179772,41.779503192
"3175662",-87.597078595,41.759768134
"3176348",-87.552301102,41.735547653
"3176984",-87.695595805,41.856316491
"3177491",-87.687638324,41.878505963
"3178162",-87.771330921,41.878474016
"3178787",-87.725475051,41.874974798
"3179529",-87.563106159,41.718951651
"3180326",-87.728700952,41.861509305
"3181124",-87.563795519,41.7511168
"3181715",-87.722925332,41.89905026
"3182262",-87.719996432,41.896123015
"3183016",-87.58384403,41.772635626
"3183662",-87.61277799,41.762930303
"3184147",-87.653414812,41.784588964
"3184820",-87.541345118,41.698646716
"3185407",-87.68200759,41.849360377
"3185940",-87.711479372,41.896812665
"3186575",-87.654635394,41.871817285
"3187196",-87.582416215,41.764928563
"3187935",-87.624771671,41.821153535
"3188727",-87.641139026,41.691431377
"3189409",-87.721932074,41.878024063
"3190004",-87.694374168,41.856982044
"3190608",-87.703689977,41.798256669
"3191204",-87.704420069,41.935701129
"3191719",-87.656995068,41.75162913
"3192340",-87.72816913,41.882478083
"3192877",-87.728859108,41.912511943
"3193419",-87.577670444,41.737029077
"3194045",-87.744176137,41.932448799
"3194625",-87.618913087,41.717712231
"3195241",-87.751985582,41.897241667
"3195723",-87.698406075,41.784050587
"3196543",-87.698548194,41.788971887
"3197346",-87.717211677,41.883956597
"3198127",-87.596736141,41.778171912
"3198762",-87.639211587,41.89652481
"3199312",-87.759423521,41.88575874
"3199900",-87.618031571,41.826817094
"3200544",-87.5633147,41.70884573
"3201029",-87.644065847,41.708101557
"3201672",-87.585943259,41.799587196
"3202237",-87.620740424,41.702495331
"3202858",-87.66903815,42.016030425
"3203463",-87.64307776,41.787057554
"3204048",-87.726477977,41.914494441
"3204639",-87.655791365,41.765027954
"3205130",-87.649907926,41.789916773
"3205910",-87.706716852,41.951119724
"3206643",-87.630584998,41.728945342
"3207412",-87.72071375,41.837943156
"3208015",-87.64295372,41.69052843
"3208599",-87.731673919,41.878797251
"3209279",-87.609208779,41.765133487
"3209830",-87.631907666,41.713437049
"3210398",-87.651370553,41.841830676
"3211021",-87.621104499,41.80512076
"3211575",-87.754694725,41.891314063
"3212271",-87.612387634,41.747046586
"3212712",-87.695119418,41.78455928
